inst#,actual,predicted,error,commodity_name
244,125,139.533,14.533,'Ginger (Imported)'
245,157.5,153.064,-4.436,'Palm Oil'
246,157.5,156.055,-1.445,'Palm Oil'
247,72.5,67.057,-5.443,'Onion (local)'
248,47,45.019,-1.981,'Ata (loose) - White'
249,710,697.7,-12.3,Beef
250,165,161.123,-3.877,'Ginger (Imported)'
251,19,19.991,0.991,'Potato (Holland) - Red'
252,110,105.899,-4.101,'Garlic (local) - Big Size'
253,45.5,48.444,2.944,'Egg Farm-Red'
254,105,97.157,-7.843,'Garlic (local) - Big Size'
255,97.5,94.75,-2.75,Milk
256,172,173.766,1.766,'Soybean Oil(loose)'
257,105,97.143,-7.857,'Garlic (local) - Big Size'
258,110,105.867,-4.133,'Garlic (local) - Big Size'
259,145,154.686,9.686,'Garlic (Imported)'
260,150,153.475,3.475,'Garlic (Imported)'
261,80.5,80.005,-0.495,'Rice - Fine'
262,125,139.617,14.617,'Ginger (Imported)'
263,169,168.505,-0.495,'Soybean Oil(loose)'
264,72.5,67.97,-4.53,'Onion (local)'
265,60,54.53,-5.47,'Ata (Packet)'
266,770,761.794,-8.206,Beef
267,130,160.024,30.024,'Green Chili (Local)'
268,161.667,168.133,6.467,'Ginger (Imported)'
269,125,132.59,7.59,'Garlic (Imported)'
270,172.5,170.963,-1.537,'Broiler chicken'
271,157.5,154.407,-3.093,'Palm Oil'
272,190,203.84,13.84,'Green Chili (Local)'
273,171.5,172.332,0.832,'Soybean Oil(loose)'
274,79,79.277,0.277,'Rice - Fine'
275,72.5,68.484,-4.016,'Onion (local)'
276,125,132.549,7.549,'Garlic (Imported)'
277,72.5,66.47,-6.03,'Onion (local)'
278,45,46.17,1.17,'Egg Farm-Red'
279,145,145.363,0.363,'Lentils - Desi-Whole'
280,77,78.643,1.643,'Rice - Fine'
281,205,196.778,-8.222,'Garlic (Imported)'
282,52.5,52.519,0.019,'Ata (Packet)'
283,710,697.688,-12.312,Beef
284,160,163.416,3.416,'Broiler chicken'
285,90,92,2,'Garlic (local) - Big Size'
286,735,736.413,1.413,Beef
287,75.833,69.451,-6.382,'Onion (local)'
288,165,161.504,-3.496,'Ginger (Imported)'
289,166.667,203.585,36.918,'Green Chili (Local)'
290,175,201.222,26.222,'Green Chili (Local)'
291,44,45.38,1.38,'Ata (loose) - White'
292,125,139.807,14.807,'Ginger (Imported)'
293,52.5,52.336,-0.164,'Ata (Packet)'
294,41,44.86,3.86,'Egg Farm-Red'
295,46.75,46.164,-0.586,'Ata (loose) - White'
296,64,65.777,1.777,'Rice - Medium'
297,44.5,47.018,2.518,'Egg Farm-Red'
298,49,46.623,-2.377,'Egg Farm-Red'
299,735,736.408,1.408,Beef
300,170,164.121,-5.879,'Palm Oil'
301,110,100.819,-9.181,'Garlic (local) - Big Size'
302,190,202.549,12.549,'Green Chili (Local)'
303,171.5,172.183,0.683,'Soybean Oil(loose)'
304,170,177.53,7.53,'Soybean Oil(loose)'
305,775,758.122,-16.878,Beef
306,175,160.574,-14.426,'Broiler chicken'
307,200,194.104,-5.896,'Green Chili (Local)'
308,172.5,173.967,1.467,'Broiler chicken'
309,41,45.054,4.054,'Egg Farm-Red'
310,150,153.209,3.209,'Garlic (Imported)'
311,64,66.83,2.83,'Rice - Medium'
312,157.5,158.184,0.684,'Palm Oil'
313,182.5,186.933,4.433,'Soybean Oil(loose)'
314,205,192.681,-12.319,'Garlic (Imported)'
