Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_30,M5P (Random),'Rice - Fine',4.8047,2.192,0.3456,100.34,2.32
target_30,Random Forest (Random),'Rice - Fine',4.6514,2.1567,0.7388,98.92,2.29
target_30,XGBoost (Random),'Rice - Fine',2.3733,1.5405,0.7223,67.73,1.57
target_30,Gradient Boosting (Random),'Rice - Medium',17.5381,4.1879,0.7151,194.23,5.13
target_30,Linear Regression (Random),'Rice - Medium',5.4211,2.3283,0.325,116.83,3.13
target_30,M5P (Random),'Rice - Medium',4.8554,2.2035,0.1183,101.16,2.71
target_30,Random Forest (Random),'Rice - Medium',3.8866,1.9714,0.4238,89.33,2.39
target_30,XGBoost (Random),'Rice - Medium',3.8923,1.9729,0.6309,76.37,2.05
target_30,Gradient Boosting (Random),'Soybean Oil(loose)',16.3907,4.0485,0.8236,54.33,1.64
target_30,Linear Regression (Random),'Soybean Oil(loose)',21.6881,4.6571,0.7466,61.59,1.88
target_30,M5P (Random),'Soybean Oil(loose)',25.1008,5.0101,0.708,69.71,2.14
target_30,Random Forest (Random),'Soybean Oil(loose)',11.397,3.3759,0.877,46.14,1.41
target_30,XGBoost (Random),'Soybean Oil(loose)',6.4704,2.5437,0.9265,29.38,0.89
target_30,Gradient Boosting (Random),Beef,69.3292,8.3264,0.9459,31.48,0.75
target_30,Linear Regression (Random),Beef,353.773,18.8089,0.8529,72.4,1.72
target_30,M5P (Random),Beef,74.9254,8.6559,0.9407,34.5,0.83
target_30,Random Forest (Random),Beef,39.1271,6.2552,0.9695,13.38,0.32
target_30,XGBoost (Random),Beef,33.312,5.7717,0.9738,17.64,0.42
target_30,Gradient Boosting (Random),Milk,21.7566,4.6644,0.9611,39.68,4.83
target_30,Linear Regression (Random),Milk,63.6076,7.9754,0.9447,74.31,9.19
target_30,M5P (Random),Milk,0.9597,0.9796,0.997,6.82,0.91
target_30,Random Forest (Random),Milk,0.8113,0.9007,0.997,5.49,0.77
target_30,XGBoost (Random),Milk,2.735,1.6538,0.9883,13.4,1.62
target_7,Gradient Boosting (Random),'Ata (Packet)',1.6814,1.2967,0.8852,46.99,1.77
target_7,Linear Regression (Random),'Ata (Packet)',2.6697,1.6339,0.7706,59.32,2.24
target_7,M5P (Random),'Ata (Packet)',3.2601,1.8056,0.8736,69.94,2.61
target_7,Random Forest (Random),'Ata (Packet)',5.1199,2.2627,0.8301,90.51,3.42
target_7,XGBoost (Random),'Ata (Packet)',1.31,1.1445,0.9052,37.11,1.4
target_7,Gradient Boosting (Random),'Ata (loose) - White',5.0092,2.2381,0.7136,56.38,3.08
target_7,Linear Regression (Random),'Ata (loose) - White',5.9224,2.4336,0.652,67.03,3.72
target_7,M5P (Random),'Ata (loose) - White',5.9294,2.435,0.6865,62.09,3.46
target_7,Random Forest (Random),'Ata (loose) - White',9.4453,3.0733,0.467,97.45,5.45
target_7,XGBoost (Random),'Ata (loose) - White',3.5979,1.8968,0.8019,49.43,2.73
target_7,Gradient Boosting (Random),'Broiler chicken',857.8823,29.2896,0.2661,71.49,4.07
