inst#,actual,predicted,error,commodity_name
339,170,175.144,5.144,'Pangash (big)'
340,175,176.718,1.718,'Pangash (big)'
341,165,162.617,-2.383,'Pangash (big)'
342,19,19.425,0.425,'Potato (Holland) - Red'
343,19,19.424,0.424,'Potato (Holland) - Red'
344,83.5,81.827,-1.673,'Rice - Fine'
345,79.75,79.222,-0.528,'Rice - Fine'
346,77.5,79.114,1.614,'Rice - Fine'
347,79,79.166,0.166,'Rice - Fine'
348,68.5,60.718,-7.782,'Rice - Medium'
349,63,60.698,-2.302,'Rice - Medium'
350,63.5,60.653,-2.847,'Rice - Medium'
351,65,60.678,-4.322,'Rice - Medium'
352,176,176.694,0.694,'Soybean Oil(loose)'
353,172,175.026,3.026,'Soybean Oil(loose)'
354,169,162.347,-6.653,'Soybean Oil(loose)'
355,173.5,175.027,1.527,'Soybean Oil(loose)'
356,182.5,185.347,2.847,'Soybean Oil(loose)'
357,51,48.685,-2.315,'Ata (Packet)'
358,57.5,60.509,3.009,'Ata (Packet)'
359,52.5,60.513,8.013,'Ata (Packet)'
360,49,46.524,-2.476,'Ata (Packet)'
361,55,60.533,5.533,'Ata (Packet)'
362,43,42.197,-0.803,'Ata (loose) - White'
363,45.5,41.75,-3.75,'Ata (loose) - White'
364,44.5,40.027,-4.473,'Ata (loose) - White'
365,43.5,43.281,-0.219,'Ata (loose) - White'
366,43.5,41.48,-2.02,'Ata (loose) - White'
367,42.5,42.56,0.06,'Ata (loose) - White'
368,770,769.18,-0.82,Beef
369,728.333,737.662,9.329,Beef
370,745,746.184,1.184,Beef
371,720,722.99,2.99,Beef
372,710,699.756,-10.244,Beef
373,735,737.9,2.9,Beef
374,166.25,160.987,-5.263,'Broiler chicken'
375,175,169.368,-5.632,'Broiler chicken'
376,167.5,162.368,-5.132,'Broiler chicken'
377,172.5,165.268,-7.232,'Broiler chicken'
378,177.5,168.784,-8.716,'Broiler chicken'
379,165,158.816,-6.184,'Broiler chicken'
380,48,43.805,-4.195,'Egg Farm-Red'
381,48.5,45.189,-3.311,'Egg Farm-Red'
382,44.5,43.976,-0.524,'Egg Farm-Red'
383,45,44.347,-0.653,'Egg Farm-Red'
384,45.5,45.426,-0.074,'Egg Farm-Red'
385,49,45.428,-3.572,'Egg Farm-Red'
386,153.75,160.25,6.5,'Garlic (Imported)'
