inst#,actual,predicted,error,commodity_name
306,155,163.692,8.692,'Garlic (Imported)'
307,150,157.558,7.558,'Garlic (Imported)'
308,205,187.784,-17.216,'Garlic (Imported)'
309,130,139.568,9.568,'Garlic (Imported)'
310,110,131.04,21.04,'Garlic (local) - Big Size'
311,113.333,116.152,2.819,'Garlic (local) - Big Size'
312,105,100.556,-4.444,'Garlic (local) - Big Size'
313,110,102.001,-7.999,'Garlic (local) - Big Size'
314,105,92.292,-12.708,'Garlic (local) - Big Size'
315,192.5,182.305,-10.195,'Ginger (Imported)'
316,168.333,173.057,4.723,'Ginger (Imported)'
317,165,160.425,-4.575,'Ginger (Imported)'
318,165,113.38,-51.62,'Ginger (Imported)'
319,175,161.593,-13.407,'Ginger (Imported)'
320,227.5,161.215,-66.285,'Green Chili (Local)'
321,205,181.045,-23.955,'Green Chili (Local)'
322,150,158.38,8.38,'Green Chili (Local)'
323,170,190.117,20.117,'Green Chili (Local)'
324,175,167.067,-7.933,'Green Chili (Local)'
325,147.5,145.182,-2.318,'Lentils - Desi-Whole'
326,145,138.872,-6.128,'Lentils - Desi-Whole'
327,135,138.872,3.872,'Lentils - Desi-Whole'
328,97.5,94.575,-2.925,Milk
329,72.5,62.173,-10.327,'Onion (local)'
330,72.5,62.173,-10.327,'Onion (local)'
331,72.5,64.27,-8.23,'Onion (local)'
332,72.5,62.173,-10.327,'Onion (local)'
333,72.5,67.413,-5.087,'Onion (local)'
334,159.25,163.209,3.959,'Palm Oil'
335,151,153.709,2.709,'Palm Oil'
336,153.5,158.08,4.58,'Palm Oil'
337,164,163.867,-0.133,'Palm Oil'
338,167.5,181.288,13.788,'Pangash (big)'
339,170,170.589,0.589,'Pangash (big)'
340,175,178.84,3.84,'Pangash (big)'
341,165,165.891,0.891,'Pangash (big)'
342,19,20.617,1.617,'Potato (Holland) - Red'
343,19,20.617,1.617,'Potato (Holland) - Red'
344,83.5,87.665,4.165,'Rice - Fine'
345,79.75,79.182,-0.568,'Rice - Fine'
346,77.5,79.182,1.682,'Rice - Fine'
347,79,79.182,0.182,'Rice - Fine'
348,68.5,69.32,0.82,'Rice - Medium'
349,63,68.179,5.179,'Rice - Medium'
350,63.5,61.107,-2.393,'Rice - Medium'
351,65,68.179,3.179,'Rice - Medium'
352,176,179.322,3.322,'Soybean Oil(loose)'
353,172,172.851,0.851,'Soybean Oil(loose)'
354,169,168.68,-0.32,'Soybean Oil(loose)'
355,173.5,169.866,-3.634,'Soybean Oil(loose)'
356,182.5,183.614,1.114,'Soybean Oil(loose)'
357,51,48.969,-2.031,'Ata (Packet)'
358,57.5,52.525,-4.975,'Ata (Packet)'
359,52.5,52.525,0.025,'Ata (Packet)'
360,49,47.689,-1.311,'Ata (Packet)'
361,55,56.835,1.835,'Ata (Packet)'
362,43,42.932,-0.068,'Ata (loose) - White'
