inst#,actual,predicted,error,commodity_name
173,135,145.858,10.858,'Lentils - Desi-Whole'
174,97.5,97.994,0.494,Milk
175,75,61.696,-13.304,'Onion (local)'
176,72.5,60.877,-11.623,'Onion (local)'
177,72.5,57.792,-14.708,'Onion (local)'
178,69,60.86,-8.14,'Onion (local)'
179,72.5,63.142,-9.358,'Onion (local)'
180,151.5,167.057,15.557,'Palm Oil'
181,146.5,163.171,16.671,'Palm Oil'
182,151,160.716,9.716,'Palm Oil'
183,153.5,163.028,9.528,'Palm Oil'
184,164,169.584,5.584,'Palm Oil'
185,167.5,182.85,15.35,'Pangash (big)'
186,170,179.162,9.162,'Pangash (big)'
187,175,182.616,7.616,'Pangash (big)'
188,165,178.133,13.133,'Pangash (big)'
189,19,25.236,6.236,'Potato (Holland) - Red'
190,19,25.376,6.376,'Potato (Holland) - Red'
191,77,85.205,8.205,'Rice - Fine'
192,77.5,82.29,4.79,'Rice - Fine'
193,79,83.874,4.874,'Rice - Fine'
194,63,69.608,6.608,'Rice - Medium'
195,63.5,68.218,4.718,'Rice - Medium'
196,65,70.009,5.009,'Rice - Medium'
197,169,184.264,15.264,'Soybean Oil(loose)'
198,172,182.28,10.28,'Soybean Oil(loose)'
199,165.5,177.448,11.948,'Soybean Oil(loose)'
200,172.5,179.054,6.554,'Soybean Oil(loose)'
201,182.5,188.927,6.427,'Soybean Oil(loose)'
202,51,55.961,4.961,'Ata (Packet)'
203,57.5,57.552,0.052,'Ata (Packet)'
204,52.5,55.185,2.685,'Ata (Packet)'
205,49,53.502,4.502,'Ata (Packet)'
206,55,58.265,3.265,'Ata (Packet)'
207,43,45.45,2.45,'Ata (loose) - White'
208,44.25,46.208,1.958,'Ata (loose) - White'
209,43.5,45.627,2.127,'Ata (loose) - White'
210,43.5,45.101,1.601,'Ata (loose) - White'
211,42.5,46.808,4.308,'Ata (loose) - White'
212,770,763.179,-6.821,Beef
213,728.333,743.081,14.748,Beef
214,720,736.406,16.406,Beef
215,695,721.207,26.207,Beef
216,735,755.026,20.026,Beef
217,157.5,165.365,7.865,'Broiler chicken'
218,175,171.217,-3.783,'Broiler chicken'
219,172.5,169.36,-3.14,'Broiler chicken'
220,167.5,169.602,2.102,'Broiler chicken'
221,160,166.053,6.053,'Broiler chicken'
222,47,43.954,-3.046,'Egg Farm-Red'
223,48.25,45.326,-2.924,'Egg Farm-Red'
224,45,42.43,-2.57,'Egg Farm-Red'
225,47.5,43.318,-4.182,'Egg Farm-Red'
226,51,45.094,-5.906,'Egg Farm-Red'
227,153.75,170.6,16.85,'Garlic (Imported)'
228,155,174.842,19.842,'Garlic (Imported)'
229,150,165.601,15.601,'Garlic (Imported)'
230,205,192.56,-12.44,'Garlic (Imported)'
231,130,159.437,29.437,'Garlic (Imported)'
232,110,112.585,2.585,'Garlic (local) - Big Size'
233,113.333,106.743,-6.591,'Garlic (local) - Big Size'
234,105,100.198,-4.802,'Garlic (local) - Big Size'
235,110,102.909,-7.091,'Garlic (local) - Big Size'
236,105,98.151,-6.849,'Garlic (local) - Big Size'
237,192.5,161.339,-31.161,'Ginger (Imported)'
238,168.333,151.511,-16.822,'Ginger (Imported)'
239,165,131.865,-33.135,'Ginger (Imported)'
240,165,126.602,-38.398,'Ginger (Imported)'
241,175,147.11,-27.89,'Ginger (Imported)'
242,250,136.687,-113.313,'Green Chili (Local)'
243,220,181.503,-38.497,'Green Chili (Local)'
244,240,126.849,-113.151,'Green Chili (Local)'
245,170,118.843,-51.157,'Green Chili (Local)'
246,225,149.352,-75.648,'Green Chili (Local)'
247,145,144.882,-0.118,'Lentils - Desi-Whole'
248,145,143.797,-1.203,'Lentils - Desi-Whole'
249,135,143.145,8.145,'Lentils - Desi-Whole'
250,97.5,94.939,-2.561,Milk
251,75,59.582,-15.418,'Onion (local)'
252,72.5,59.011,-13.489,'Onion (local)'
253,72.5,56.018,-16.482,'Onion (local)'
254,69,58.36,-10.64,'Onion (local)'
255,72.5,61.161,-11.339,'Onion (local)'
256,159.25,163.901,4.651,'Palm Oil'
257,152,160.108,8.108,'Palm Oil'
258,151,157.66,6.66,'Palm Oil'
259,153.5,159.972,6.472,'Palm Oil'
260,164,166.529,2.529,'Palm Oil'
261,190,179.907,-10.093,'Pangash (big)'
262,170,176.107,6.107,'Pangash (big)'
263,175,179.56,4.56,'Pangash (big)'
264,165,175.077,10.077,'Pangash (big)'
265,19,22.131,3.131,'Potato (Holland) - Red'
266,19,22.32,3.32,'Potato (Holland) - Red'
267,83.5,82.977,-0.523,'Rice - Fine'
268,79.75,82.261,2.511,'Rice - Fine'
269,77.5,79.256,1.756,'Rice - Fine'
270,79,80.84,1.84,'Rice - Fine'
271,68.5,68.75,0.25,'Rice - Medium'
272,63,66.592,3.592,'Rice - Medium'
273,63.5,65.156,1.656,'Rice - Medium'
274,65,66.953,1.953,'Rice - Medium'
275,176,181.084,5.084,'Soybean Oil(loose)'
276,171.25,179.087,7.837,'Soybean Oil(loose)'
277,165.5,174.457,8.957,'Soybean Oil(loose)'
278,172.5,176.124,3.624,'Soybean Oil(loose)'
279,182.5,185.872,3.372,'Soybean Oil(loose)'
280,51,55.586,4.586,'Ata (Packet)'
281,57.5,57.112,-0.388,'Ata (Packet)'
282,52.5,54.753,2.253,'Ata (Packet)'
283,49,53.084,4.084,'Ata (Packet)'
284,55,57.833,2.833,'Ata (Packet)'
285,43,45.004,2.004,'Ata (loose) - White'
286,45.5,45.753,0.253,'Ata (loose) - White'
287,43.5,45.195,1.695,'Ata (loose) - White'
288,43.5,44.669,1.169,'Ata (loose) - White'
289,42.5,46.376,3.876,'Ata (loose) - White'
290,770,762.818,-7.182,Beef
291,728.333,742.592,14.259,Beef
292,720,735.618,15.618,Beef
293,710,720.775,10.775,Beef
294,735,754.594,19.594,Beef
295,157.5,164.88,7.38,'Broiler chicken'
296,175,171.546,-3.454,'Broiler chicken'
297,172.5,169.071,-3.429,'Broiler chicken'
298,167.5,169.662,2.162,'Broiler chicken'
299,165,165.575,0.575,'Broiler chicken'
300,47,43.435,-3.565,'Egg Farm-Red'
301,48.5,45.141,-3.359,'Egg Farm-Red'
302,45,42.22,-2.78,'Egg Farm-Red'
303,45.5,43.024,-2.476,'Egg Farm-Red'
304,49,45.004,-3.996,'Egg Farm-Red'
305,153.75,169.883,16.133,'Garlic (Imported)'
306,155,173.363,18.363,'Garlic (Imported)'
307,150,164.172,14.172,'Garlic (Imported)'
308,205,192.107,-12.893,'Garlic (Imported)'
309,130,157.495,27.495,'Garlic (Imported)'
310,110,111.584,1.584,'Garlic (local) - Big Size'
311,113.333,106.366,-6.967,'Garlic (local) - Big Size'
312,105,99.41,-5.59,'Garlic (local) - Big Size'
313,110,102.264,-7.736,'Garlic (local) - Big Size'
314,105,97.532,-7.468,'Garlic (local) - Big Size'
315,192.5,163.5,-29,'Ginger (Imported)'
316,168.333,154.864,-13.469,'Ginger (Imported)'
317,165,134.694,-30.306,'Ginger (Imported)'
318,165,127.012,-37.988,'Ginger (Imported)'
319,175,151.271,-23.729,'Ginger (Imported)'
320,227.5,138.415,-89.085,'Green Chili (Local)'
321,205,168.34,-36.66,'Green Chili (Local)'
322,150,128.363,-21.637,'Green Chili (Local)'
323,170,121.133,-48.867,'Green Chili (Local)'
324,175,148.372,-26.628,'Green Chili (Local)'
325,147.5,145.454,-2.046,'Lentils - Desi-Whole'
326,145,143.365,-1.635,'Lentils - Desi-Whole'
327,135,142.82,7.82,'Lentils - Desi-Whole'
328,97.5,94.507,-2.993,Milk
329,72.5,59.843,-12.657,'Onion (local)'
330,72.5,59.214,-13.286,'Onion (local)'
331,72.5,56.532,-15.968,'Onion (local)'
332,72.5,58.736,-13.764,'Onion (local)'
333,72.5,60.922,-11.578,'Onion (local)'
334,159.25,163.37,4.12,'Palm Oil'
335,151,157.229,6.229,'Palm Oil'
336,153.5,159.541,6.041,'Palm Oil'
337,164,166.097,2.097,'Palm Oil'
338,167.5,181.511,14.011,'Pangash (big)'
339,170,175.675,5.675,'Pangash (big)'
340,175,179.129,4.129,'Pangash (big)'
341,165,174.645,9.645,'Pangash (big)'
342,19,21.649,2.649,'Potato (Holland) - Red'
343,19,21.888,2.888,'Potato (Holland) - Red'
344,83.5,82.631,-0.869,'Rice - Fine'
345,79.75,81.769,2.019,'Rice - Fine'
346,77.5,78.807,1.307,'Rice - Fine'
347,79,80.429,1.429,'Rice - Fine'
348,68.5,68.346,-0.154,'Rice - Medium'
349,63,66.423,3.423,'Rice - Medium'
350,63.5,64.717,1.217,'Rice - Medium'
351,65,66.521,1.521,'Rice - Medium'
352,176,180.527,4.527,'Soybean Oil(loose)'
353,172,178.896,6.896,'Soybean Oil(loose)'
354,169,174.234,5.234,'Soybean Oil(loose)'
355,173.5,175.715,2.215,'Soybean Oil(loose)'
356,182.5,185.44,2.94,'Soybean Oil(loose)'
357,51,55.289,4.289,'Ata (Packet)'
358,57.5,56.847,-0.653,'Ata (Packet)'
359,52.5,54.588,2.088,'Ata (Packet)'
360,49,52.933,3.933,'Ata (Packet)'
361,55,57.668,2.668,'Ata (Packet)'
362,43,45.065,2.065,'Ata (loose) - White'
363,45.5,45.61,0.11,'Ata (loose) - White'
364,44.5,41.451,-3.049,'Ata (loose) - White'
365,43.5,45.029,1.529,'Ata (loose) - White'
366,43.5,44.598,1.098,'Ata (loose) - White'
367,42.5,46.21,3.71,'Ata (loose) - White'
368,770,762.488,-7.512,Beef
369,728.333,742.756,14.422,Beef
370,745,746.111,1.111,Beef
371,720,735.097,15.097,Beef
372,710,720.61,10.61,Beef
373,735,754.429,19.429,Beef
374,166.25,164.72,-1.53,'Broiler chicken'
375,175,170.952,-4.048,'Broiler chicken'
376,167.5,161.475,-6.025,'Broiler chicken'
377,172.5,169.048,-3.452,'Broiler chicken'
378,177.5,169.356,-8.144,'Broiler chicken'
379,165,165.517,0.517,'Broiler chicken'
380,48,43.612,-4.388,'Egg Farm-Red'
381,48.5,45.076,-3.424,'Egg Farm-Red'
382,44.5,40.87,-3.63,'Egg Farm-Red'
383,45,42.223,-2.777,'Egg Farm-Red'
384,45.5,43.184,-2.316,'Egg Farm-Red'
385,49,44.861,-4.139,'Egg Farm-Red'
386,153.75,169.422,15.672,'Garlic (Imported)'
387,155,174.349,19.349,'Garlic (Imported)'
388,125,157.678,32.678,'Garlic (Imported)'
389,150,163.01,13.01,'Garlic (Imported)'
390,205,192.227,-12.773,'Garlic (Imported)'
391,130,156.43,26.43,'Garlic (Imported)'
392,110,112.024,2.024,'Garlic (local) - Big Size'
393,113.333,105.914,-7.42,'Garlic (local) - Big Size'
394,95,96.381,1.381,'Garlic (local) - Big Size'
395,105,98.888,-6.112,'Garlic (local) - Big Size'
396,110,101.885,-8.115,'Garlic (local) - Big Size'
397,105,98.358,-6.642,'Garlic (local) - Big Size'
398,197.5,161.083,-36.417,'Ginger (Imported)'
399,163.333,156.845,-6.488,'Ginger (Imported)'
400,125,137.801,12.801,'Ginger (Imported)'
401,165,136.982,-28.018,'Ginger (Imported)'
402,165,127.131,-37.869,'Ginger (Imported)'
403,165,150.864,-14.136,'Ginger (Imported)'
404,208.75,140.242,-68.508,'Green Chili (Local)'
405,205,169.617,-35.383,'Green Chili (Local)'
406,145,128.389,-16.611,'Green Chili (Local)'
407,160,129.599,-30.401,'Green Chili (Local)'
408,170,125.523,-44.477,'Green Chili (Local)'
409,175,148.024,-26.976,'Green Chili (Local)'
410,147.5,146.023,-1.477,'Lentils - Desi-Whole'
411,145,143.2,-1.8,'Lentils - Desi-Whole'
412,135,142.385,7.385,'Lentils - Desi-Whole'
413,97.5,94.341,-3.159,Milk
414,72.5,60.098,-12.402,'Onion (local)'
415,71.667,59.531,-12.136,'Onion (local)'
416,72.5,56.75,-15.75,'Onion (local)'
417,72.5,59.235,-13.265,'Onion (local)'
418,72.5,61.171,-11.329,'Onion (local)'
419,159.25,163.374,4.124,'Palm Oil'
420,152,159.551,7.551,'Palm Oil'
421,157.5,156.216,-1.284,'Palm Oil'
422,154.5,157.063,2.563,'Palm Oil'
423,156.5,159.375,2.875,'Palm Oil'
424,164,165.932,1.932,'Palm Oil'
425,167.5,180.852,13.352,'Pangash (big)'
426,175,176.815,1.815,'Pangash (big)'
427,170,175.509,5.509,'Pangash (big)'
428,175,178.963,3.963,'Pangash (big)'
429,165,174.48,9.48,'Pangash (big)'
430,19,21.697,2.697,'Potato (Holland) - Red'
431,19,21.723,2.723,'Potato (Holland) - Red'
432,83.5,82.551,-0.949,'Rice - Fine'
433,79.75,81.68,1.93,'Rice - Fine'
434,77.5,78.656,1.156,'Rice - Fine'
435,79,80.285,1.285,'Rice - Fine'
436,68.5,68.21,-0.29,'Rice - Medium'
437,63,66.147,3.147,'Rice - Medium'
438,64,62.582,-1.418,'Rice - Medium'
439,63.5,64.544,1.044,'Rice - Medium'
440,65,66.356,1.356,'Rice - Medium'
441,176,180.674,4.674,'Soybean Oil(loose)'
442,172,178.599,6.599,'Soybean Oil(loose)'
443,171.5,173.618,2.118,'Soybean Oil(loose)'
444,169,174.332,5.332,'Soybean Oil(loose)'
445,173.5,175.675,2.175,'Soybean Oil(loose)'
446,182.5,185.274,2.774,'Soybean Oil(loose)'
447,51,55.7,4.7,'Ata (Packet)'
448,57.5,56.67,-0.83,'Ata (Packet)'
449,52.5,54.365,1.865,'Ata (Packet)'
450,49,52.725,3.725,'Ata (Packet)'
451,55,57.446,2.446,'Ata (Packet)'
452,43,45.018,2.018,'Ata (loose) - White'
453,46.667,45.465,-1.202,'Ata (loose) - White'
454,44.5,41.229,-3.271,'Ata (loose) - White'
455,47,44.807,-2.193,'Ata (loose) - White'
456,43.5,44.376,0.876,'Ata (loose) - White'
457,46,45.988,-0.012,'Ata (loose) - White'
458,770,763.057,-6.943,Beef
459,728.333,742.807,14.474,Beef
460,745,745.888,0.888,Beef
461,720,734.519,14.519,Beef
462,710,720.387,10.387,Beef
463,735,754.206,19.206,Beef
464,168.75,164.624,-4.126,'Broiler chicken'
465,175,170.466,-4.534,'Broiler chicken'
466,167.5,161.43,-6.07,'Broiler chicken'
467,172.5,168.495,-4.005,'Broiler chicken'
468,177.5,170.186,-7.314,'Broiler chicken'
469,165,166.343,1.343,'Broiler chicken'
470,48,43.688,-4.312,'Egg Farm-Red'
471,48.5,45.003,-3.497,'Egg Farm-Red'
472,44.5,40.726,-3.774,'Egg Farm-Red'
473,45,42.153,-2.847,'Egg Farm-Red'
474,45.5,43.103,-2.397,'Egg Farm-Red'
475,49,44.722,-4.278,'Egg Farm-Red'
476,153.75,166.64,12.89,'Garlic (Imported)'
477,155,174.829,19.829,'Garlic (Imported)'
478,125,157.124,32.124,'Garlic (Imported)'
479,150,161.791,11.791,'Garlic (Imported)'
480,205,192.289,-12.711,'Garlic (Imported)'
481,135,155.027,20.027,'Garlic (Imported)'
482,102.5,106.493,3.993,'Garlic (local) - Big Size'
483,115.833,105.295,-10.538,'Garlic (local) - Big Size'
484,95,96.016,1.016,'Garlic (local) - Big Size'
485,105,98.31,-6.69,'Garlic (local) - Big Size'
486,110,101.449,-8.551,'Garlic (local) - Big Size'
