inst#,actual,predicted,error,commodity_name
220,43,44.51,1.51,'Ata (loose) - White'
221,83.5,81.772,-1.728,'Rice - Fine'
222,156,155.7,-0.3,'Palm Oil'
223,170,164.936,-5.064,'Broiler chicken'
224,80.25,80.377,0.127,'Rice - Fine'
225,170,165.119,-4.881,'Palm Oil'
226,46.25,45.182,-1.068,'Ata (loose) - White'
227,150,410.593,260.593,'Green Chili (Local)'
228,182.5,184.778,2.278,'Soybean Oil(loose)'
229,72.5,62.741,-9.759,'Onion (local)'
230,190,157.149,-32.851,'Green Chili (Local)'
231,175,179.169,4.169,'Pangash (big)'
232,62.75,64.52,1.77,'Rice - Medium'
233,215,167.659,-47.341,'Ginger (Imported)'
234,68.5,67.335,-1.165,'Rice - Medium'
235,162.333,162.119,-0.214,'Palm Oil'
236,167.5,161.81,-5.69,'Broiler chicken'
237,190,186.444,-3.556,'Garlic (Imported)'
238,105,96.467,-8.533,'Garlic (local) - Big Size'
239,175,179.217,4.217,'Pangash (big)'
240,768.333,763.004,-5.329,Beef
241,149.167,160.117,10.95,'Garlic (Imported)'
242,171.5,173.424,1.924,'Soybean Oil(loose)'
243,62.75,64.596,1.846,'Rice - Medium'
244,125,140.387,15.387,'Ginger (Imported)'
245,157.5,155.374,-2.126,'Palm Oil'
246,157.5,158.59,1.09,'Palm Oil'
247,72.5,61.673,-10.827,'Onion (local)'
248,47,43.608,-3.392,'Ata (loose) - White'
249,710,719.837,9.837,Beef
250,165,146.401,-18.599,'Ginger (Imported)'
251,19,20.481,1.481,'Potato (Holland) - Red'
252,110,101.458,-8.542,'Garlic (local) - Big Size'
253,43.5,44.434,0.934,'Egg Farm-Red'
254,110,97.637,-12.363,'Garlic (local) - Big Size'
255,97.5,93.392,-4.108,Milk
256,175.75,178.267,2.517,'Soybean Oil(loose)'
257,110,97.474,-12.526,'Garlic (local) - Big Size'
258,110,101.568,-8.432,'Garlic (local) - Big Size'
259,155,160.701,5.701,'Garlic (Imported)'
260,150,157.018,7.018,'Garlic (Imported)'
261,80.25,80.2,-0.05,'Rice - Fine'
262,125,140.745,15.745,'Ginger (Imported)'
263,169,173.294,4.294,'Soybean Oil(loose)'
264,72.5,60.244,-12.256,'Onion (local)'
265,60,56.89,-3.11,'Ata (Packet)'
266,768.333,764.097,-4.236,Beef
267,190,162.428,-27.572,'Green Chili (Local)'
268,167.5,162.08,-5.42,'Ginger (Imported)'
269,125,146.065,21.065,'Garlic (Imported)'
270,172.5,171.898,-0.602,'Broiler chicken'
271,157.5,155.884,-1.616,'Palm Oil'
272,206.667,189.091,-17.575,'Green Chili (Local)'
273,171.5,174.486,2.986,'Soybean Oil(loose)'
274,79,79.246,0.246,'Rice - Fine'
275,72.5,64.114,-8.386,'Onion (local)'
276,125,145.227,20.227,'Garlic (Imported)'
277,72.5,62.22,-10.28,'Onion (local)'
278,41,42.652,1.652,'Egg Farm-Red'
279,145,143.851,-1.149,'Lentils - Desi-Whole'
280,77,77.869,0.869,'Rice - Fine'
281,190,186.216,-3.784,'Garlic (Imported)'
282,52.5,53.453,0.953,'Ata (Packet)'
283,710,719.933,9.933,Beef
284,165,166.299,1.299,'Broiler chicken'
285,90,92.32,2.32,'Garlic (local) - Big Size'
286,735,748.905,13.905,Beef
287,67.5,63.937,-3.563,'Onion (local)'
288,155,147.587,-7.413,'Ginger (Imported)'
289,165,169.036,4.036,'Green Chili (Local)'
290,200,168.105,-31.895,'Green Chili (Local)'
291,44.5,44.419,-0.081,'Ata (loose) - White'
292,115,141.557,26.557,'Ginger (Imported)'
293,55.5,53.596,-1.904,'Ata (Packet)'
294,44.5,42.043,-2.457,'Egg Farm-Red'
