Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_30,M5P,'Potato (Holland) - Red',30.737,5.5441,0.2841,178.02,14.51
target_30,Random Forest,'Potato (Holland) - Red',25.1408,5.0141,-0.0196,209.63,16.41
target_30,XGBoost,'Potato (Holland) - Red',19.2562,4.3882,0.3925,155.74,12.57
target_30,Gradient Boosting,'Rice - Fine',17.6216,4.1978,0.0696,193.28,4.79
target_30,Linear Regression,'Rice - Fine',18.6174,4.3148,0.3746,197.92,4.75
target_30,M5P,'Rice - Fine',9.1085,3.018,0.2334,138.28,3.41
target_30,Random Forest,'Rice - Fine',10.2098,3.1953,-0.1947,147.57,3.64
target_30,XGBoost,'Rice - Fine',3.7304,1.9314,0.6793,70.32,1.74
target_30,Gradient Boosting,'Rice - Medium',17.7678,4.2152,0.2968,96.9,2.62
target_30,Linear Regression,'Rice - Medium',41.3241,6.4284,0.1998,266.31,7.53
target_30,M5P,'Rice - Medium',20.74,4.5541,0.2898,128.98,3.55
target_30,Random Forest,'Rice - Medium',16.1477,4.0184,0.2532,98.95,2.73
target_30,XGBoost,'Rice - Medium',16.4124,4.0512,0.2847,84.39,2.27
target_30,Gradient Boosting,'Soybean Oil(loose)',29.5473,5.4357,0.0434,126.87,1.92
target_30,Linear Regression,'Soybean Oil(loose)',57.4168,7.5774,0.3102,232.23,3.46
target_30,M5P,'Soybean Oil(loose)',35.1741,5.9308,0.2047,152.78,2.28
target_30,Random Forest,'Soybean Oil(loose)',25.817,5.081,0.2238,117.23,1.77
target_30,XGBoost,'Soybean Oil(loose)',30.5933,5.5311,0.3332,123.89,1.89
target_30,Gradient Boosting,Beef,523.2488,22.8746,0.7411,47.01,1.34
target_30,Linear Regression,Beef,789.1224,28.0913,0.7331,86.94,2.31
target_30,M5P,Beef,555.778,23.5749,0.7181,54.96,1.55
target_30,Random Forest,Beef,496.1686,22.2748,0.7535,42.76,1.22
target_30,XGBoost,Beef,507.0493,22.5178,0.7504,40.73,1.18
target_30,Gradient Boosting,Milk,16.5947,4.0737,0.9962,36.23,4.7
target_30,Linear Regression,Milk,74.3581,8.6231,0.9197,70.61,8.43
target_30,M5P,Milk,1.2227,1.1058,0.9963,9.11,1.22
target_30,Random Forest,Milk,1.0837,1.041,0.9968,6.71,0.95
target_30,XGBoost,Milk,1.9781,1.4065,0.9937,11.03,1.46
target_7,Gradient Boosting,'Ata (Packet)',1.3653,1.1685,0.9256,51.75,1.74
target_7,Linear Regression,'Ata (Packet)',13.4213,3.6635,0.7826,179.99,5.96
target_7,M5P,'Ata (Packet)',7.7655,2.7867,0.735,118.03,3.96
target_7,Random Forest,'Ata (Packet)',4.122,2.0303,0.9319,90.67,3.01
target_7,XGBoost,'Ata (Packet)',1.7764,1.3328,0.9204,57.42,1.94
target_7,Gradient Boosting,'Ata (loose) - White',10.134,3.1834,0.575,58.17,3.88
target_7,Linear Regression,'Ata (loose) - White',19.8481,4.4551,0.5467,104.06,7.05
target_7,M5P,'Ata (loose) - White',15.1769,3.8958,0.4492,62.37,4.19
target_7,Random Forest,'Ata (loose) - White',16.5575,4.0691,0.5509,114.84,8.22
target_7,XGBoost,'Ata (loose) - White',9.4048,3.0667,0.646,70.21,4.81
target_7,Gradient Boosting,'Broiler chicken',120.7344,10.9879,0.5525,94.47,4.94
target_7,Linear Regression,'Broiler chicken',130.1917,11.4102,0.4084,115.38,6.02
target_7,M5P,'Broiler chicken',119.1816,10.917,0.5149,97.54,5.07
target_7,Random Forest,'Broiler chicken',153.2536,12.3796,0.5923,117.41,6.24
target_7,XGBoost,'Broiler chicken',174.9607,13.2273,0.4322,110.02,5.72
target_7,Gradient Boosting,'Egg Farm-Red',8.205,2.8644,0.6562,71.42,5.3
target_7,Linear Regression,'Egg Farm-Red',22.2915,4.7214,0.5091,122.2,8.53
target_7,M5P,'Egg Farm-Red',9.7196,3.1176,0.6417,75.68,5.65
target_7,Random Forest,'Egg Farm-Red',13.9354,3.733,0.5455,98.96,7.07
target_7,XGBoost,'Egg Farm-Red',14.2627,3.7766,0.6807,97.19,7.38
target_7,Gradient Boosting,'Garlic (Imported)',119.6135,10.9368,0.9129,44.75,5.91
target_7,Linear Regression,'Garlic (Imported)',224.1536,14.9718,0.9166,69.71,9.4
target_7,M5P,'Garlic (Imported)',136.8024,11.6963,0.906,50.34,6.74
target_7,Random Forest,'Garlic (Imported)',180.9387,13.4513,0.9075,58.88,7.96
target_7,XGBoost,'Garlic (Imported)',104.4218,10.2187,0.9109,40.09,5.32
target_7,Gradient Boosting,'Garlic (local) - Big Size',51.3624,7.1668,0.6378,80.24,6.27
target_7,Linear Regression,'Garlic (local) - Big Size',60.443,7.7745,0.6682,101.99,7.67
target_7,M5P,'Garlic (local) - Big Size',80.3503,8.9638,0.52,106.23,8.07
target_7,Random Forest,'Garlic (local) - Big Size',76.9271,8.7708,0.5391,111.9,8.55
target_7,XGBoost,'Garlic (local) - Big Size',142.5485,11.9394,0.3451,114.5,9.02
target_7,Gradient Boosting,'Ginger (Imported)',2651.6534,51.4942,0.0882,110.19,13.22
target_7,Linear Regression,'Ginger (Imported)',1917.2802,43.7868,-0.2353,105.01,12.45
target_7,M5P,'Ginger (Imported)',1896.3366,43.5469,-0.1565,109.07,13.64
target_7,Random Forest,'Ginger (Imported)',1752.8124,41.8666,-0.0074,92.15,10.83
target_7,XGBoost,'Ginger (Imported)',1866.0565,43.1979,-0.1005,99.84,11.87
target_7,Gradient Boosting,'Green Chili (Local)',894.2472,29.904,0.3961,95.58,23.23
target_7,Linear Regression,'Green Chili (Local)',991.9592,31.4954,0.1945,103.88,27.28
target_7,M5P,'Green Chili (Local)',40876.4384,202.1792,-0.1752,385.63,118.07
target_7,Random Forest,'Green Chili (Local)',1436.3564,37.8993,0.1452,104.79,28.67
target_7,XGBoost,'Green Chili (Local)',3266.3068,57.1516,0.0558,120.55,33.23
target_7,Gradient Boosting,'Lentils - Desi-Whole',256.3029,16.0095,0.3345,76.39,6.33
target_7,Linear Regression,'Lentils - Desi-Whole',197.1739,14.0419,0.3944,79.22,6.36
target_7,M5P,'Lentils - Desi-Whole',188.0582,13.7134,0.4921,59.92,5.18
target_7,Random Forest,'Lentils - Desi-Whole',164.0558,12.8084,0.5864,53.02,4.66
target_7,XGBoost,'Lentils - Desi-Whole',214.3069,14.6392,0.4168,75.35,6.11
target_7,Gradient Boosting,'Onion (local)',9.2,3.0331,0.2019,131.89,6.21
target_7,Linear Regression,'Onion (local)',12.3866,3.5195,0.3312,163.61,8.01
target_7,M5P,'Onion (local)',8.0945,2.8451,0.3137,121.08,5.82
target_7,Random Forest,'Onion (local)',59.783,7.7319,-0.4589,389.26,18.81
target_7,XGBoost,'Onion (local)',11.5019,3.3915,0.1718,147.67,7.19
target_7,Gradient Boosting,'Palm Oil',12.1259,3.4822,0.5068,62.54,0.87
target_7,Linear Regression,'Palm Oil',38.7042,6.2213,0.4099,248.23,3.28
target_7,M5P,'Palm Oil',21.9376,4.6838,0.1817,140.4,1.89
target_7,Random Forest,'Palm Oil',13.7882,3.7132,0.4618,86.95,1.18
target_7,XGBoost,'Palm Oil',14.2002,3.7683,0.491,79.61,1.09
target_7,Gradient Boosting,'Pangash (big)',104.7499,10.2347,0.6424,58.88,2.77
target_7,Linear Regression,'Pangash (big)',168.8967,12.996,0.6967,105.65,4.94
target_7,M5P,'Pangash (big)',185.9398,13.636,0.5345,107.56,5.0
target_7,Random Forest,'Pangash (big)',146.8311,12.1174,0.546,78.42,3.64
target_7,XGBoost,'Pangash (big)',123.3626,11.1069,0.5889,68.89,3.22
target_7,Gradient Boosting,'Potato (Holland) - Red',30.3349,5.5077,0.3249,71.69,10.28
target_7,Linear Regression,'Potato (Holland) - Red',60.9564,7.8075,0.383,162.76,23.34
target_7,M5P,'Potato (Holland) - Red',46.1664,6.7946,0.2501,75.87,10.22
target_7,Random Forest,'Potato (Holland) - Red',35.6332,5.9694,0.3349,96.34,13.18
target_7,XGBoost,'Potato (Holland) - Red',28.5618,5.3443,0.4565,69.85,9.61
target_7,Gradient Boosting,'Rice - Fine',4.0729,2.0181,0.644,101.78,2.09
target_7,Linear Regression,'Rice - Fine',11.6644,3.4153,0.5219,196.56,3.94
target_7,M5P,'Rice - Fine',4.4512,2.1098,0.808,105.27,2.1
target_7,Random Forest,'Rice - Fine',6.614,2.5718,0.6485,143.26,2.94
target_7,XGBoost,'Rice - Fine',13.0668,3.6148,0.3621,128.6,2.62
target_7,Gradient Boosting,'Rice - Medium',5.0104,2.2384,0.6147,110.23,2.69
target_7,Linear Regression,'Rice - Medium',15.3739,3.921,0.5425,230.81,5.63
